:Number	Year	Date	County	Area	Status	Sex	TotalLength	CrusherClawWidth	CrusherLoss	SiccorLoss	ClawRatio
94	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	384	100	0	0	0.260416667
95	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	318	54	0	0	0.169811321
96	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	249	40	0	0	0.16064257
97	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	373	83	0	0	0.222520107
98	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	332	54	0	0	0.162650602
99	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	293	60	0	0	0.204778157
100	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	316	55	0	0	0.174050633
101	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	256	46	0	0	0.1796875
102	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	285	45	0	0	0.157894737
103	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	269	50	0	0	0.185873606
104	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	270	51	0	0	0.188888889
105	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	223	38	0	0	0.170403587
106	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	344	80	0	0	0.23255814
107	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	269	44	0	0	0.163568773
108	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	330	76	0	1	0.23030303
109	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	235	39	0	0	0.165957447
110	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	152	25	0	0	0.164473684
111	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	235	40	0	0	0.170212766
112	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	280	48	0	0	0.171428571
113	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	296	71	0	0	0.239864865
114	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	324	53	0	0	0.163580247
115	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	265	52	0	0	0.196226415
116	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	350	71	0	0	0.202857143
117	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	262	46	0	0	0.175572519
118	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	323	52	0	0	0.160990712
119	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	314	63	0	0	0.200636943
120	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	327	58	0	0	0.177370031
121	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	299	56	0	0	0.18729097
122	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	367	76	0	0	0.207084469
123	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	328	69	0	0	0.210365854
124	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	334	55	0	0	0.164670659
125	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	272	45	0	0	0.165441176
126	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	214	36	0	0	0.168224299
127	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Males	357	64	0	0	0.179271709
128	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	276	43	0	0	0.155797101
129	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	335	46	0	0	0.137313433
130	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	290	49	0	0	0.168965517
131	2017	01/09/2017	Aust-Agder	Flodevigen	MPA	Females	310	53	0	0	0.170967742
132	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	268	44	0	0	0.164179104
133	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	173	25	0	0	0.144508671
134	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	314	52	0	0	0.165605096
135	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	215	34	0	0	0.158139535
136	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	203	34	0	0	0.167487685
137	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	298	46	0	0	0.154362416
138	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	206	32	0	0	0.155339806
139	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	284	52	0	0	0.183098592
140	2017	29/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	255	47	0	0	0.184313725
141	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	273	52	0	0	0.19047619
142	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	254	40	0	0	0.157480315
143	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	186	30	0	0	0.161290323
144	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	245	44	0	0	0.179591837
145	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	268	50	0	0	0.186567164
146	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	240	39	0	0	0.1625
147	2017	30/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	234	38	0	0	0.162393162
148	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	300	50	0	0	0.166666667
149	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	251	41	0	0	0.163346614
150	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	237	40	0	0	0.168776371
151	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	289	58	0	0	0.200692042
152	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	227	39	0	0	0.171806167
153	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	315	51	0	0	0.161904762
154	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	287	45	0	0	0.156794425
155	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Males	257	25	0	0	0.097276265
156	2017	31/08/2017	Aust-Agder	Gjervoldsoy	Fished	Females	278	46	0	0	0.165467626
157	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	258	42	0	0	0.162790698
158	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	286	49	0	0	0.171328671
159	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	266	42	0	0	0.157894737
160	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Males	171	27	0	0	0.157894737
161	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Males	192	32	0	0	0.166666667
162	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	240	39	0	0	0.1625
163	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	315	52	0	0	0.165079365
164	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Males	234	39	0	0	0.166666667
165	2017	01/09/2017	Aust-Agder	Gjervoldsoy	Fished	Females	189	30	0	0	0.158730159
166	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	317	55	0	0	0.173501577
167	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	336	68	0	0	0.202380952
168	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	302	51	0	0	0.168874172
169	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	345	64	0	0	0.185507246
170	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	294	60	0	0	0.204081633
171	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	317	51	0	0	0.160883281
172	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	305	50	0	0	0.163934426
173	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	326	54	0	0	0.165644172
174	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	325	54	0	0	0.166153846
175	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	330	55	0	0	0.166666667
176	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	340	58	1	0	0.170588235
177	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	357	85	0	0	0.238095238
178	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	300	50	0	0	0.166666667
179	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	355	59	0	0	0.166197183
180	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	342	56	0	0	0.16374269
181	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	320	32	0	0	0.1
182	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	319	50	0	0	0.156739812
183	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	202	31	0	0	0.153465347
184	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	276	52	0	0	0.188405797
185	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	330	72	0	0	0.218181818
186	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	280	46	0	0	0.164285714
187	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	277	54	0	0	0.194945848
188	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	332	52	0	0	0.156626506
189	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	270	45	0	0	0.166666667
190	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	270	47	0	0	0.174074074
191	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	313	48	0	0	0.153354633
192	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	338	84	0	0	0.24852071
193	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	296	50	0	0	0.168918919
194	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	250	47	0	0	0.188
195	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	292	48	0	0	0.164383562
196	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	266	49	0	0	0.184210526
197	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	255	52	0	0	0.203921569
198	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	368	65	0	0	0.176630435
199	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	234	37	0	0	0.158119658
200	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	286	64	0	0	0.223776224
201	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	299	49	0	0	0.163879599
202	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	277	44	0	0	0.158844765
203	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	297	48	0	0	0.161616162
204	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	330	83	0	0	0.251515152
205	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	285	50	0	0	0.175438596
206	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	278	45	0	0	0.161870504
207	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	225	40	0	0	0.177777778
208	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	240	40	0	0	0.166666667
209	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	234	43	0	0	0.183760684
210	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	276	52	0	0	0.188405797
211	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	310	53	0	0	0.170967742
212	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	216	33	0	0	0.152777778
213	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	277	60	0	0	0.216606498
214	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	278	47	0	0	0.169064748
215	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	305	54	0	0	0.17704918
216	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	315	69	0	0	0.219047619
217	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	256	43	0	0	0.16796875
218	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	268	44	0	0	0.164179104
219	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	295	51	0	0	0.172881356
220	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	270	45	0	0	0.166666667
221	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	246	41	0	0	0.166666667
222	2017	16/08/2017	Østfold	Kvernskjar	MPA	Males	253	47	0	0	0.185770751
223	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	240	40	0	0	0.166666667
224	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	226	37	0	0	0.163716814
225	2017	16/08/2017	Østfold	Kvernskjar	MPA	Females	196	31	0	0	0.158163265
226	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	326	54	0	0	0.165644172
227	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	372	89	0	0	0.239247312
228	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	296	46	0	0	0.155405405
229	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	302	61	0	0	0.201986755
230	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	229	37	0	0	0.161572052
231	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	323	58	0	0	0.179566563
232	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	277	54	0	0	0.194945848
233	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	229	36	0	0	0.15720524
234	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	284	49	0	0	0.172535211
235	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	318	53	0	0	0.166666667
236	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	368	97	0	0	0.263586957
237	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	289	56	0	0	0.193771626
238	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	329	72	0	0	0.218844985
239	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	285	50	0	0	0.175438596
240	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	336	56	0	0	0.166666667
241	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	291	49	0	1	0.16838488
242	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	294	70	0	0	0.238095238
243	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	313	50	0	0	0.159744409
244	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	296	45	0	0	0.152027027
245	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	246	41	0	0	0.166666667
246	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	262	44	0	0	0.167938931
247	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	283	45	0	0	0.159010601
248	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	296	46	0	0	0.155405405
249	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	238	43	0	0	0.180672269
250	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	277	48	0	0	0.173285199
251	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	301	70	0	0	0.23255814
252	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	295	67	0	0	0.227118644
253	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	218	34	0	0	0.155963303
254	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	211	35	0	0	0.165876777
255	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	288	49	0	0	0.170138889
256	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	314	53	0	0	0.168789809
257	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	226	41	0	0	0.181415929
258	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	273	54	0	0	0.197802198
259	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	283	48	0	0	0.169611307
260	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	242	40	0	0	0.165289256
261	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	276	48	0	0	0.173913043
262	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	302	53	0	0	0.175496689
263	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	283	57	0	0	0.201413428
264	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	283	47	0	0	0.166077739
265	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	303	67	0	0	0.221122112
266	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	252	47	0	0	0.186507937
267	2017	17/08/2017	Østfold	Kvernskjar	MPA	Females	332	57	0	0	0.171686747
268	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	318	74	1	0	0.232704403
269	2017	17/08/2017	Østfold	Kvernskjar	MPA	Males	256	48	0	0	0.1875
270	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	218	38	0	0	0.174311927
271	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	302	61	0	0	0.201986755
272	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	259	40	0	0	0.154440154
273	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	282	48	0	0	0.170212766
274	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	350	56	0	0	0.16
275	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	298	48	0	0	0.161073826
276	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	292	47	0	0	0.160958904
277	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	377	80	0	0	0.212201592
278	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	355	79	0	0	0.222535211
279	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	348	78	0	0	0.224137931
280	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	288	47	0	0	0.163194444
281	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	260	48	0	0	0.184615385
282	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	338	56	0	0	0.165680473
283	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	315	31	0	0	0.098412698
284	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	332	74	0	0	0.222891566
285	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	280	46	0	0	0.164285714
286	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	284	45	0	0	0.158450704
287	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	277	45	0	1	0.162454874
288	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	229	37	0	0	0.161572052
289	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	293	70	0	0	0.23890785
290	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	272	45	0	0	0.165441176
291	2017	18/08/2017	Østfold	Kvernskjar	MPA	Males	184	30	0	0	0.163043478
292	2017	18/08/2017	Østfold	Kvernskjar	MPA	Females	283	29	0	0	0.102473498
