:Number	Year	Date	County	Area	Status	Sex	TotalLength	CrusherClawWidth	CrusherLoss	SiccorLoss	ClawRatio
1	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	345	80	0	0	0.231884058
2	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	250	48	0	0	0.192
3	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	272	43	0	0	0.158088235
4	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	232	43	0	0	0.185344828
5	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	315	75	0	0	0.238095238
6	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	253	43	0	0	0.169960474
7	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	245	44	0	0	0.179591837
8	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	262	45	0	0	0.171755725
9	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	295	70	0	0	0.237288136
10	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	286	55	0	0	0.192307692
11	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	361	97	0	0	0.268698061
12	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	385	96	0	0	0.249350649
13	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	343	57	0	0	0.166180758
14	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	355	63	0	0	0.177464789
15	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	305	49	0	0	0.160655738
16	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	320	53	0	1	0.165625
17	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	368	78	0	0	0.211956522
18	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	250	41	0	0	0.164
19	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	342	57	0	0	0.166666667
20	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	264	43	0	0	0.162878788
21	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	326	72	0	0	0.220858896
22	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	353	80	0	0	0.226628895
23	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Males	295	62	0	0	0.210169492
24	2017	29/08/2017	Aust-Agder	Flodevigen	MPA	Females	285	50	0	0	0.175438596
25	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	218	34	0	0	0.155963303
26	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	300	50	0	0	0.166666667
27	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	312	50	0	0	0.16025641
28	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	237	43	0	0	0.181434599
29	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	293	50	0	0	0.170648464
30	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	275	55	0	0	0.2
31	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	253	49	0	0	0.193675889
32	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	272	58	0	0	0.213235294
33	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	257	25	0	0	0.097276265
34	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	317	73	0	0	0.230283912
35	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	266	50	0	0	0.187969925
36	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	336	57	0	0	0.169642857
37	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	327	49	0	0	0.149847095
38	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	298	58	0	0	0.194630872
39	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	284	46	0	0	0.161971831
40	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	314	52	0	0	0.165605096
41	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	312	64	0	0	0.205128205
42	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	364	79	0	0	0.217032967
43	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	330	55	0	0	0.166666667
44	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	286	48	0	0	0.167832168
45	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	290	48	0	0	0.165517241
46	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	341	61	0	0	0.17888563
47	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	343	36	0	0	0.104956268
48	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	248	40	0	0	0.161290323
49	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	296	51	0	0	0.172297297
50	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	315	63	0	0	0.2
51	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	344	73	0	0	0.212209302
52	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	328	65	1	1	0.198170732
53	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	355	80	0	0	0.225352113
54	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Females	336	57	0	0	0.169642857
55	2017	30/08/2017	Aust-Agder	Flodevigen	MPA	Males	282	55	0	0	0.195035461
56	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	263	45	0	0	0.171102662
57	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	256	48	0	0	0.1875
58	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	267	55	0	0	0.205992509
59	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	243	42	0	0	0.172839506
60	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	282	49	0	0	0.173758865
61	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	264	43	0	0	0.162878788
62	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	203	33	0	0	0.162561576
63	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	273	46	0	0	0.168498168
64	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	325	74	0	1	0.227692308
65	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	320	72	0	0	0.225
66	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	268	45	0	0	0.167910448
67	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	246	44	0	0	0.178861789
68	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	207	33	0	0	0.15942029
69	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	290	56	0	0	0.193103448
70	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	339	55	0	0	0.162241888
71	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	273	46	0	0	0.168498168
72	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	236	38	0	0	0.161016949
73	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	243	48	0	1	0.197530864
74	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	360	60	0	0	0.166666667
75	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	348	58	0	0	0.166666667
76	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	265	43	0	0	0.162264151
77	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	290	60	0	0	0.206896552
78	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	351	57	0	0	0.162393162
79	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	312	63	0	0	0.201923077
80	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	335	32	0	0	0.095522388
81	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	314	55	0	0	0.175159236
82	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	291	57	0	0	0.195876289
83	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	316	50	0	0	0.158227848
84	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	300	46	0	0	0.153333333
85	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	338	57	0	0	0.168639053
86	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	318	63	0	0	0.198113208
87	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	253	41	0	0	0.162055336
88	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	322	70	0	0	0.217391304
89	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	314	52	0	0	0.165605096
90	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	287	48	0	0	0.167247387
91	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	258	43	0	0	0.166666667
92	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Males	385	85	0	0	0.220779221
93	2017	31/08/2017	Aust-Agder	Flodevigen	MPA	Females	317	53	0	0	0.167192429
